curveID,CO2_setpoint,Tblock_setpoint,HHMMSS,Obs,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,n
4,100,30,56683.13333,53,1329.566667,0,1.322666667,0.487,86.81333333,6.925333333,1.66,28.05333333,6,1.42,1,2.84,29.27,28.05333333,30.11933333,100.098,94.16333333,0.5908,20.97086667,1.48,52.59333333,199.6133333,1599,0,102.5,16.1,0.793,1,-0.22,2.74,1,0,0.16,111115,165
4,50,30,56945.2,68,1591.566667,0,-0.716933333,0.521133333,53.62,7.085333333,1.6,28.004,6,1.42,1,2.84,29.27,28.004,30.11666667,51.366,52.40733333,0.5928,21.42486667,1.49,53.742,199.6866667,1599,0,102.5,15.2,0.803,1,-0.22,2.74,1,0,0.16,111135,165
4,400,30,57442.13333,83,2088.466667,0,11.1,0.552533333,313,7.23,1.552666667,27.99066667,6,1.42,1,2.84,29.27333333,27.99066667,30.12,399.9493333,358.8053333,0.5964,21.84346667,1.498,54.78,199.6066667,1599,0,102.5,20.6,0.816,1,-0.22,2.74,1,0,0.16,111115,165
4,600,30,57784.6,98,2430.866667,0,14.04,0.5452,486,7.21,1.57,28.03333333,6,1.42,1,2.84,29.28,28.03333333,30.118,600.634,546.6433333,0.601533333,21.80026667,1.51,54.65066667,199.68,1599,0,102.5,23,0.796,1,-0.22,2.74,1,0,0.16,111115,165
4,900,30,58089,113,2735.533333,0,15.76,0.514,759,7.095333333,1.62,28.122,6,1.42,1,2.84,29.282,28.122,30.11266667,901.122,835.8826667,0.606733333,21.47226667,1.52,53.81933333,199.64,1601,0,102.5,25.3,0.822,1,-0.22,2.74,1,0,0.16,111115,165
4,1200,30,58482.73333,128,3129.1,0,16.25333333,0.446066667,1030,6.77,1.75,28.256,6,1.42,1,2.84,29.29,28.256,30.11533333,1200.566667,1128.746,0.611,20.5412,1.53,51.474,199.6333333,1600,0,102.5,26.2,0.819,1,-0.22,2.74,1,0,0.16,111115,165
4,1500,30,59106.26667,143,3752.033333,0,16.66,0.330266667,1290,5.986666667,2.018666667,28.428,6,1.42,1,2.84,29.29133333,28.428,30.11933333,1500.281333,1424.584667,0.621533333,18.2872,1.557333333,45.81533333,199.6266667,1600,0,102.5,26.3,0.824,0.88,-0.22,2.74,1,0,0.16,111115,165
4,1800,30,59462.26667,158,4108.1,0,16.86,0.279,1560,5.522666667,2.17,28.482,6,1.42,1,2.84,29.29933333,28.482,30.11466667,1799.551333,1720.354667,0.624266667,16.9386,1.56,42.43333333,199.66,1600,0,102.5,25.9,0.817,1,-0.22,2.74,1,0,0.16,111115,165
5,400,40,60625.26667,8,19.03333333,0,10.8,0.316,283.4,8.499333333,2.94,34.70666667,6,1.42,1,2.84,38.1,34.70666667,40.01666667,400.0126667,358.4173333,0.6502,25.53193333,0.996,39.09933333,199.6533333,1601,0,102.5,21.4,0.775,1,-0.22,2.74,1,0,0.16,111115,165
5,300,40,61008.33333,23,402.0333333,0,8.051333333,0.339533333,215,8.73,2.832,34.57533333,6,1.42,1,2.84,38.1,34.57533333,40.06,299.2526667,268.0273333,0.661,26.20333333,1.01,40.13,199.6666667,1600,0,102.5,20,0.755,1,-0.22,2.74,1,0,0.16,111115,165
5,200,40,61311.13333,38,704.7333333,0,4.63,0.371066667,150.6666667,9.005333333,2.7,34.41333333,6,1.42,1,2.84,38.08,34.41333333,40.06,198.9233333,180.1366667,0.6714,27.00386667,1.03,41.402,199.6533333,1601,0,102.5,18.6,0.744,1,-0.22,2.74,1,0,0.16,111115,165
5,100,40,61663.26667,53,1056.566667,0,0.6734,0.4114,88.39333333,9.530666667,2.606666667,34.614,6,1.42,1,2.84,38.28,34.614,40.06,99.908,95.15933333,0.683133333,28.51386667,1.04,43.23333333,199.6466667,1599,0,102.5,17,0.737,1,-0.22,2.74,1,0,0.16,111115,165
5,50,40,62029.73333,68,1423.433333,0,-1.249333333,0.447933333,56.39333333,9.853333333,2.5,34.58,6,1.42,1,2.84,38.26,34.58,40.05533333,51.34533333,53.512,0.699066667,29.43926667,1.06,44.684,199.7,1601,0,102.5,16.3,0.735,1,-0.22,2.74,1,0,0.16,111135,165
